username;password;role
jin1;jinsatu;jin_pengumpul
jin_kuli;kulisejati;jin_pembangun
Genie;UCUPBESAR;jin_pembangun
Asep;dukun;jin_pembangun
Achai;achai123;jin_pembangun
Bolasdfasdfas;fasdas;jin_pengumpul
aisfdaosdfasd;afdouiasfoiahfoiahs;jin_pengumpul
asdfipasdoiufbaosd;asfdpuasdfouiasfuodhs;jin_pengumpul
asd[fhsadifhasoidhf;asdfbasidbfa;jin_pengumpul
asdufha[osidfhaosihfajss;asdfuasdbfuibasudbfasfd;jin_pengumpul
sdfuibasodfsaod;dsafpuibsadiufbauibfas;jin_pengumpul
sdafubasudhfuasdas;dfpuhasudhfshoiasfdjasd;jin_pengumpul
uasdfhasuodhf[oasidfai;adshfiasdhfiohoiafhsdaf;jin_pengumpul
asdfhaoisdfhasoid;adsfhashfishdifhasoih;jin_pembangun
0;0;0
0;0;0
