username;password;role
Bondowoso;cintaroro;bandung_bondowoso
Roro;gasukabondo;roro_jonggrang
jin1;jinsatu;jin_pengumpul
jin_kuli;kulisejati;jin_pembangun
Genie;UCUPBESAR;jin_pembangun
Albert;pola123;jin_pembangun
Asep;dukun;jin_pembangun
Althaf;althaf123;jin_pembangun
Achai;achai123;jin_pembangun
bangun1;bangun1;jin_pengumpul
bangun2;bangun2;jin_pengumpul
bangun3;bangun3;jin_pengumpul
bangun4;bangun4;jin_pengumpul
bangun5;bangun5;jin_pengumpul
bangun6;bangun6;jin_pengumpul
kumpul1;kumpul1;jin_pembangun
kumpul2;kumpul2;jin_pembangun
kumpul4;kumpul4;jin_pembangun
kumpul5;kumpul5;jin_pembangun
