username;password;role
Bondowoso;cintaroro;bandung_bondowoso
Roro;gasukabondo;roro_jonggrang
jin1;jinsatu;jin_pengumpul
jin_kuli;kulisejati;jin_pembangun
Genie;UCUPBESAR;jin_pembangun
Albert;pola123;jin_pembangun
Asep;dukun;jin_pembangun
Althaf;althaf123;jin_pembangun
Achai;achai123;jin_pembangun
Farel;achai123;jin_pembangun
Pola;achai123;jin_pembangun
Enrik;achai123;jin_pembangun
josia;achai123;jin_pembangun
Pat;achai123;jin_pembangun
wilson;achai123;jin_pembangun
bodi;achai123;jin_pembangun
jin2;jinsatu;jin_pengumpul
jin3;jinsatu;jin_pengumpul
jin4;jinsatu;jin_pengumpul
